id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
S;SUL;2013-04-11 00:00:00;11102.910375
SE;SUDESTE;2013-04-11 00:00:00;36638.48154167
N;NORTE;2013-04-12 00:00:00;4256.03333333
NE;NORDESTE;2013-04-12 00:00:00;10198.80820833
S;SUL;2013-04-12 00:00:00;10959.11566667
SE;SUDESTE;2013-04-12 00:00:00;37470.95966667
N;NORTE;2013-04-13 00:00:00;4193.62583333
NE;NORDESTE;2013-04-13 00:00:00;9804.18241667
S;SUL;2013-04-13 00:00:00;9101.09591667
SE;SUDESTE;2013-04-13 00:00:00;34923.33758333
N;NORTE;2013-04-14 00:00:00;4004.79208333
NE;NORDESTE;2013-04-14 00:00:00;9125.89354167
S;SUL;2013-04-14 00:00:00;7543.141125
SE;SUDESTE;2013-04-14 00:00:00;29680.25320833
N;NORTE;2013-04-15 00:00:00;4384.33541667
NE;NORDESTE;2013-04-15 00:00:00;10267.52625
S;SUL;2013-04-15 00:00:00;10131.04491667
SE;SUDESTE;2013-04-15 00:00:00;34109.1845
N;NORTE;2013-04-16 00:00:00;4336.45291667
NE;NORDESTE;2013-04-16 00:00:00;10348.82104167
S;SUL;2013-04-16 00:00:00;10399.44441667
SE;SUDESTE;2013-04-16 00:00:00;34853.12845833
N;NORTE;2013-04-17 00:00:00;4306.84833333
NE;NORDESTE;2013-04-17 00:00:00;10330.46525
S;SUL;2013-04-17 00:00:00;10587.52741667
SE;SUDESTE;2013-04-17 00:00:00;34515.883625
N;NORTE;2013-04-18 00:00:00;4268.57208333
NE;NORDESTE;2013-04-18 00:00:00;10146.73745833
S;SUL;2013-04-18 00:00:00;10649.01808333
SE;SUDESTE;2013-04-18 00:00:00;34504.46254167
N;NORTE;2013-04-19 00:00:00;4246.7775
NE;NORDESTE;2013-04-19 00:00:00;9864.93775
S;SUL;2013-04-19 00:00:00;10673.26845833
SE;SUDESTE;2013-04-19 00:00:00;35073.72766667
N;NORTE;2013-04-20 00:00:00;4127.0375
NE;NORDESTE;2013-04-20 00:00:00;9111.66654167
S;SUL;2013-04-20 00:00:00;9153.16854167
SE;SUDESTE;2013-04-20 00:00:00;32203.37125
N;NORTE;2013-04-21 00:00:00;3942.4225
NE;NORDESTE;2013-04-21 00:00:00;8248.83225
S;SUL;2013-04-21 00:00:00;7662.862
SE;SUDESTE;2013-04-21 00:00:00;28732.073375
N;NORTE;2013-04-22 00:00:00;4217.50125
NE;NORDESTE;2013-04-22 00:00:00;9147.29970833
S;SUL;2013-04-22 00:00:00;10150.82541667
SE;SUDESTE;2013-04-22 00:00:00;33635.64833333
N;NORTE;2013-04-23 00:00:00;4288.35125
NE;NORDESTE;2013-04-23 00:00:00;9311.61608333
S;SUL;2013-04-23 00:00:00;10683.93354167
SE;SUDESTE;2013-04-23 00:00:00;34148.588875
N;NORTE;2013-04-24 00:00:00;4356.95583333
NE;NORDESTE;2013-04-24 00:00:00;9248.03866667
S;SUL;2013-04-24 00:00:00;10793.12945833
SE;SUDESTE;2013-04-24 00:00:00;34696.243125
N;NORTE;2013-04-25 00:00:00;4335.88208333
NE;NORDESTE;2013-04-25 00:00:00;9197.537125
S;SUL;2013-04-25 00:00:00;10829.79970833
SE;SUDESTE;2013-04-25 00:00:00;34738.334
N;NORTE;2013-04-26 00:00:00;4274.33333333
NE;NORDESTE;2013-04-26 00:00:00;9251.935
S;SUL;2013-04-26 00:00:00;10851.68933333
SE;SUDESTE;2013-04-26 00:00:00;34624.53141667
N;NORTE;2013-04-27 00:00:00;4201.39583333
NE;NORDESTE;2013-04-27 00:00:00;8850.83404167
S;SUL;2013-04-27 00:00:00;9348.46154167
SE;SUDESTE;2013-04-27 00:00:00;32056.13325
N;NORTE;2013-04-28 00:00:00;4000.58958333
NE;NORDESTE;2013-04-28 00:00:00;8174.500875
S;SUL;2013-04-28 00:00:00;8076.53754167
SE;SUDESTE;2013-04-28 00:00:00;28223.64558333
N;NORTE;2013-04-29 00:00:00;4350.57166667
NE;NORDESTE;2013-04-29 00:00:00;9035.44479167
S;SUL;2013-04-29 00:00:00;10308.12695833
SE;SUDESTE;2013-04-29 00:00:00;34433.068125
N;NORTE;2013-04-30 00:00:00;4366.4425
NE;NORDESTE;2013-04-30 00:00:00;9234.118875
S;SUL;2013-04-30 00:00:00;10692.51425
SE;SUDESTE;2013-04-30 00:00:00;35859.257875
N;NORTE;2013-05-01 00:00:00;4037.32125
NE;NORDESTE;2013-05-01 00:00:00;8079.82516667
S;SUL;2013-05-01 00:00:00;8468.59404167
SE;SUDESTE;2013-05-01 00:00:00;30676.514625
N;NORTE;2013-05-02 00:00:00;4324.87041667
NE;NORDESTE;2013-05-02 00:00:00;9209.552375
S;SUL;2013-05-02 00:00:00;10834.22279167
SE;SUDESTE;2013-05-02 00:00:00;35380.91375
N;NORTE;2013-05-03 00:00:00;4312.92541667
NE;NORDESTE;2013-05-03 00:00:00;9300.2015
S;SUL;2013-05-03 00:00:00;10992.31683333
SE;SUDESTE;2013-05-03 00:00:00;36071.21795833
N;NORTE;2013-05-04 00:00:00;4185.74541667
NE;NORDESTE;2013-05-04 00:00:00;8860.37345833
